INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2021-02-26 03:00:00,1.15341633146,2300.133,5.05441633145977,2871.339,49.5655272246028,31.1084161855946,54.95341633146
BA1-PZE-01 (2),2021-02-26 03:29:59.999997,1.151653470381,2299.559,5.05265347038147,2871.364,49.548239938982,31.1143149135852,54.951653470381
BA1-PZE-01 (2),2021-02-26 04:00:00.000003,1.14842064641,2300.097,5.04942064641035,2871.414,49.5165376386479,31.1087860914736,54.94842064641
BA1-PZE-01 (2),2021-02-26 04:30:00,1.150372652376,2299.845,5.05137265237636,2871.384,49.5356797509127,31.1113756169225,54.950372652376
BA1-PZE-01 (2),2021-02-26 04:59:59.999997,1.147361934727,2299.747,5.04836193472663,2871.429,49.5061555095672,31.1123827417076,54.947361934727
BA1-PZE-01 (2),2021-02-26 05:30:00.000003,1.151038779155,2299.85,5.05203877915546,2871.374,49.5422120432374,31.111324234313,54.951038779155
BA1-PZE-01 (2),2021-02-26 06:00:00,1.150082067251,2300.087,5.05108206725127,2871.389,49.5328301627536,31.1088888442746,54.950082067251
BA1-PZE-01 (2),2021-02-26 06:29:59.999997,1.149806762447,2300.417,5.05080676244746,2871.394,49.5301304192323,31.1054982699527,54.949806762447
BA1-PZE-01 (2),2021-02-26 07:00:00.000003,1.151684053212,2299.735,5.05268405321153,2871.364,49.5485398458349,31.1125060664626,54.951684053212
BA1-PZE-01 (2),2021-02-26 07:30:00,1.149752390154,2300.104,5.05075239015432,2871.394,49.5295972238642,31.108714164815,54.949752390154
BA1-PZE-01 (2),2021-02-26 07:59:59.999997,1.148080195227,2300.052,5.04908019522735,2871.419,49.5131990449761,31.1092484830776,54.948080195227
BA1-PZE-01 (2),2021-02-26 08:30:00.000003,1.14968271879,2299.703,5.05068271879027,2871.394,49.5289139999931,31.1128349360524,54.94968271879
BA1-PZE-01 (2),2021-02-26 09:00:00,1.153740095501,2300.082,5.05474009550073,2871.334,49.568702177819,31.1089402208656,54.953740095501
BA1-PZE-01 (2),2021-02-26 09:29:59.999997,1.155751115697,2300.17,5.05675111569686,2871.304,49.5884230060503,31.1080360114107,54.955751115697
BA1-PZE-01 (2),2021-02-26 10:00:00.000003,1.148443925116,2300.231,5.04944392511564,2871.414,49.5167659184778,31.1074092529338,54.948443925116
BA1-PZE-01 (2),2021-02-26 10:30:00,1.149074792664,2300.033,5.05007479266422,2871.404,49.5229524453889,31.1094437181759,54.949074792664
BA1-PZE-01 (2),2021-02-26 10:59:59.999997,1.153010734989,2299.713,5.0540107349887,2871.344,49.5615497914811,31.1127321637467,54.953010734989
BA1-PZE-01 (2),2021-02-26 11:30:00.000003,1.152050213997,2299.928,5.05305021399665,2871.359,49.5521305576352,31.1105226820457,54.952050213997
BA1-PZE-01 (2),2021-02-26 12:00:00,1.152494017669,2300.568,5.05349401766895,2871.354,49.5564826650913,31.1039470097177,54.952494017669
BA1-PZE-01 (2),2021-02-26 12:29:59.999997,1.150682346057,2299.713,5.05168234605741,2871.379,49.5387167248333,31.1127321637467,54.950682346057
BA1-PZE-01 (2),2021-02-26 13:00:00.000003,1.147856647613,2300.68,5.04885664761273,2871.424,49.5110068521194,31.1027964808622,54.947856647613
BA1-PZE-01 (2),2021-02-26 13:30:00,1.146060210871,2299.53,5.04706021087053,2871.448,49.4933903107793,31.1146129773612,54.946060210871
BA1-PZE-01 (2),2021-02-26 13:59:59.999997,1.154709471643,2299.918,5.05570947164269,2871.319,49.5782082486296,31.1106254434299,54.954709471643
BA1-PZE-01 (2),2021-02-26 14:30:00.000003,1.144427080562,2299.703,5.04542708056241,2871.473,49.4773752143881,31.1128349360524,54.944427080562
BA1-PZE-01 (2),2021-02-26 15:00:00,1.149418890474,2300.099,5.05041889047442,2871.399,49.5263267992729,31.1087655409743,54.949418890474
BA1-PZE-01 (2),2021-02-26 15:29:59.999997,1.14711842592,2300.26,5.04811842592002,2871.434,49.5037675696758,31.1071112924158,54.94711842592
BA1-PZE-01 (2),2021-02-26 16:00:00.000003,1.149366768432,2299.799,5.05036676843163,2871.399,49.5258156707154,31.1118483428891,54.949366768432
BA1-PZE-01 (2),2021-02-26 16:30:00,1.148304229754,2299.427,5.04930422975405,2871.414,49.5153960126777,31.115671652211,54.948304229754
BA1-PZE-01 (2),2021-02-26 16:59:59.999997,1.152418108253,2300.131,5.05341810825325,2871.354,49.5557382685154,31.1084367357486,54.952418108253
BA1-PZE-01 (2),2021-02-26 17:30:00.000003,1.149275883852,2299.276,5.050275883852,2871.399,49.524924421991,31.1172237875479,54.949275883852
BA1-PZE-01 (2),2021-02-26 18:00:00,1.150393849124,2299.967,5.05139384912419,2871.384,49.5358876142769,31.1101219175003,54.950393849124
BA1-PZE-01 (2),2021-02-26 18:29:59.999997,1.153369596505,2299.864,5.05436959650487,2871.339,49.5650689238759,31.1111803636817,54.953369596505
BA1-PZE-01 (2),2021-02-26 19:00:00.000003,1.151786382084,2300.324,5.05278638208447,2871.364,49.5495433216476,31.1064537394865,54.951786382084
BA1-PZE-01 (2),2021-02-26 19:30:00,1.150413828495,2300.082,5.05141382849497,2871.384,49.5360835395788,31.1089402208656,54.950413828495
BA1-PZE-01 (2),2021-02-26 19:59:59.999997,1.149406208155,2300.026,5.05040620815546,2871.399,49.5262024316345,31.1095156473585,54.949406208155
BA1-PZE-01 (2),2021-02-26 20:30:00.000003,1.152141937776,2300.456,5.05314193777556,2871.359,49.5530300358657,31.1050976022485,54.952141937776
BA1-PZE-01 (2),2021-02-26 21:00:00,1.152027279312,2299.796,5.05302727931168,2871.359,49.551905651399,31.1118791732168,54.952027279312
BA1-PZE-01 (2),2021-02-26 21:29:59.999997,1.148728956511,2299.957,5.04972895651051,2871.409,49.5195610446476,31.1102246769037,54.948728956511
BA1-PZE-01 (2),2021-02-26 22:00:00.000003,1.151736698101,2300.038,5.05273669810098,2871.364,49.5490561016259,31.1093923403407,54.951736698101
BA1-PZE-01 (2),2021-02-26 22:30:00,1.150825321794,2300.536,5.05182532179403,2871.379,49.5401187992368,31.104275743943,54.950825321794
BA1-PZE-01 (2),2021-02-26 22:59:59.999997,1.147070130266,2299.982,5.04807013026617,2871.434,49.5032939641425,31.1099677793475,54.947070130266
BA1-PZE-01 (2),2021-02-26 23:30:00.000003,1.146682589311,2299.666,5.04768258931059,2871.439,49.4994935902662,31.1132151980004,54.946682589311
BA1-PZE-01 (2),2021-02-27 00:00:00,1.149778274499,2300.253,5.05077827449931,2871.394,49.5298510555874,31.1071832135291,54.949778274499
BA1-PZE-01 (2),2021-02-27 00:29:59.999997,1.153420674542,2300.158,5.05442067454152,2871.339,49.5655698145127,31.1081593103843,54.953420674542
BA1-PZE-01 (2),2021-02-27 01:00:00.000003,1.150329733735,2299.598,5.05132973373513,2871.384,49.5352588744085,31.1139140759341,54.950329733735
BA1-PZE-01 (2),2021-02-27 01:30:00,1.152070193753,2300.043,5.05307019375258,2871.359,49.552326486714,31.1093409626325,54.952070193753
BA1-PZE-01 (2),2021-02-27 01:59:59.999997,1.150362053523,2299.784,5.05136205352306,2871.384,49.5355758145299,31.1120024949847,54.950362053523
BA1-PZE-01 (2),2021-02-27 02:30:00.000003,1.153075715376,2300.087,5.05407571537585,2871.344,49.5621870138496,31.1088888442746,54.953075715376
BA1-PZE-01 (2),2021-02-27 03:00:00,1.152505133461,2300.632,5.05350513346132,2871.354,49.556591670775,31.1032895568609,54.952505133461
BA1-PZE-01 (2),2021-02-27 03:29:59.999997,1.15248898071,2300.539,5.05348898070985,2871.354,49.556433270756,31.1042449248886,54.95248898071
